Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors
2 BHK Flat for Rent,"HBR Layout, Bangalore",Semi Furnished,1250,Family / Bachelor,Available now,"28,000",2,3,1125,Yes,Yes,3,4
3 BHK Flat for Rent,"Sanjaynagar, Bangalore",Semi Furnished,1800,Family / Company,Available now,"65,000",3,1,1750,Yes,No,2,4
1 BHK Flat for Rent,"Jakkur, Bangalore",Fully Furnished,750,Family / Bachelor / Company,Available now,"23,000",1,1,650,Yes,Yes,1,4
2 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,1230,Family,Available now,"28,000",2,2,1125,Yes,Yes,2,4
1 BHK Flat for Rent,"Munnekollal, Bangalore",Semi Furnished,625,Family / Bachelor,Available now,"17,000",1,1,600,No,No,2,5
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,"25,600",1,1,520,No,Yes,1,5
3 BHK Flat for Rent,"Nagavara, Bangalore",Fully Furnished,2347,Family / Company,Available now,"1,15,000",3,1,1980,Yes,Yes,24,34
1 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,"30,000",1,1,600,Yes,No,5,5
2 BHK Flat for Rent,"GB Palya, Bangalore",Semi Furnished,1008,Family,Available now,"37,000",2,1,980,Yes,No,2,5
1 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,600,Family / Bachelor / Company,Available now,"18,000",1,1,500,No,Yes,2,4
1 BHK Flat for Rent,"Nagavara, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,"24,000",1,1,650,Yes,Yes,2,5
1 BHK Flat for Rent,"R.K. Hegde Nagar, Bangalore",Fully Furnished,610,Family / Bachelor / Company,Available now,"21,000",1,1,550,Yes,No,3,3
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,1000,Family / Bachelor,"Dec, 2025","54,000",2,2,900,No,No,3,5
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1000,Family / Bachelor,Available now,"38,000",2,,900,No,No,2,4
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1180,Family / Bachelor,"Nov, 2025","45,500",2,2,,No,No,5,6
1 BHK Flat for Rent,"S.G. Palya, Bangalore",Fully Furnished,744,Family / Bachelor / Company,Available now,"25,000",1,,670,Yes,Yes,1,6
2 BHK Flat for Rent,"HBR Layout, Bangalore",Semi Furnished,1400,Family / Company,Available now,"35,000",2,2,1300,Yes,Yes,1,4
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,"35,200",1,1,610,Yes,Yes,4,6
4 BHK Flat for Rent,"RMV Extension Stage 2, Bangalore",Semi Furnished,2800,Family / Bachelor / Company,Available now,"1,80,000",4,3,2750,Yes,Yes,5,25
1 BHK Flat for Rent,"BTM Layout, Bangalore",Semi Furnished,766,Family / Bachelor / Company,Available now,"13,999",1,,621,Yes,No,1,6
1 BHK Flat for Rent,"R.K. Hegde Nagar, Bangalore",Semi Furnished,750,Family / Bachelor / Company,Available now,"18,000",1,2,650,Yes,Yes,3,4
1 BHK Flat for Rent,"S.G. Palya, Bangalore",Fully Furnished,690,Family / Bachelor,Available now,"29,000",1,1,600,Yes,Yes,5,7
1 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,1074,Family / Bachelor / Company,Available now,"1,50,008",2,1,754,Yes,Yes,4,16
4 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,2020,Family / Company,Available now,"90,000",4,1,1980,No,Yes,7,19
3 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,1200,Family / Bachelor,"Dec, 2025","45,500",2,1,,No,No,,
